model,auc_roc,ks_statistic,recall_class_1,precision_class_1,brier_score,f1_class_1
LogReg - Test,0.7078691729219033,0.3567399889470706,0.5486058779201206,0.42473745624270715,0.20237737953809604,0.4787898717527129
LightGBM Base - Test,0.781906061065903,0.42604575886971785,0.624717407686511,0.4686263425664217,0.17333661061987637,0.5355297157622739
LightGBM Optimizado - Test,0.7805720979488866,0.42814104208772963,0.6179351921627732,0.467502850627138,0.17571086533161584,0.5322947095098994
LightGBM Calibrado (isotonic),0.7813266450263189,0.42514913955992445,0.3715146948003014,0.6590909090909091,0.13485294421670008,0.47518072289156627
LightGBM Calibrado (sigmoid),0.7813482541967348,0.4276762836613224,0.3918613413715147,0.644361833952912,0.13537883622749985,0.4873477038425492
